,DateTime,Outlet,Sentiment,Sentiment Neg,Sentiment Neu,Sentiment Pos,Text,Tweets Ago
12,Tue Apr 03 07:16:07 +0000 2018,@BBC,0.7269,0.0,0.663,0.337,The winners of the Scottish Nature Photography Awards 2017 have been announced. 📸 🐤 🌳 https://t.co/VhRxiF5zl3 https://t.co/2SIwUQsHgH,12.0
13,Tue Apr 03 07:03:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"This is Maya the jaguar's very first swim! 😺💦 #BigCatsAboutTheHouse 

https://t.co/IacZP3ltf3",13.0
14,Mon Apr 02 20:02:08 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"Delve into the world of @agathachristie with Bill Nighy. 🔍 #OrdealByInnocence
https://t.co/6amR2TK52M",14.0
15,Mon Apr 02 19:02:04 +0000 2018,@BBC,0.1531,0.0,0.897,0.103,"In a revealing and emotional journey, @LennyHenry investigates the relationship between the Commonwealth, the Carib… https://t.co/b58oqaOqQz",15.0
16,Mon Apr 02 18:45:06 +0000 2018,@BBC,0.5423,0.0,0.837,0.163,"A fictionalised account of how Dave Allen became one of TV's greats. 

Dave Allen at Peace | 9pm | @BBCTwo |… https://t.co/UFyHxzmRn2",16.0
17,Mon Apr 02 17:08:03 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"Would you try a blue cheese and pear ice cream? 🍦🧀

 https://t.co/g1zRQUKr0a",17.0
18,Mon Apr 02 13:32:07 +0000 2018,@BBC,0.4215,0.0,0.859,0.141,Is it easier to be a businesswoman in the West or in Asia? This is one woman's experience... https://t.co/fI84r6x06p,18.0
19,Mon Apr 02 11:07:00 +0000 2018,@BBC,0.2235,0.0,0.894,0.106,"""I have cerebral palsy. But that won't stop me from becoming a barrister."" 

This is Daniel's story. 
https://t.co/cvao6fjUoW",19.0
20,Mon Apr 02 10:02:06 +0000 2018,@BBC,0.0,0.0,1.0,0.0,From Easter egg nest cakes to hot cross buns: @BBCFood have lots of Easter baking ideas!  🍰🍫🐣… https://t.co/BValJcDkAd,20.0
21,Mon Apr 02 09:03:04 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🥚 😮 @SandiToksvig knows how to squeeze an egg into a glass bottle! #QI
 https://t.co/ykMxxdLKq7",21.0
22,Mon Apr 02 08:08:05 +0000 2018,@BBC,0.8122,0.0,0.749,0.251,"If there's one thing we love even more than chocolate, it's news that it may actually be good for us! But can choco… https://t.co/O5KlptGCV5",22.0
23,Mon Apr 02 08:02:00 +0000 2018,@BBC,0.0,0.0,1.0,0.0,When you wake up and remember it's STILL the weekend. 😊💤 #BankHoliday https://t.co/QMJ5lXS6dd,23.0
24,Mon Apr 02 07:26:06 +0000 2018,@BBC,-0.2732,0.147,0.853,0.0,"12-year-old Keilan has severe curvature of the spine. He needs surgery ASAP, but the operation could leave him para… https://t.co/5wl8aXiahP",24.0
25,Sun Apr 01 19:00:28 +0000 2018,@BBC,-0.875,0.333,0.667,0.0,"Heiress Rachel Argyll is murdered at her family estate. Eighteen months later, the identity of the murderer is thro… https://t.co/eLTDhy9dgj",25.0
26,Sun Apr 01 18:00:27 +0000 2018,@BBC,0.7644,0.0,0.752,0.248,"The Generation Game is back! Mel Giedroyc and @sueperkins host the fun family game show, with big prizes to be won… https://t.co/fsdU2b5kkd",26.0
27,Sun Apr 01 17:00:26 +0000 2018,@BBC,0.6369,0.0,0.704,0.296,🤖 Who'd love their next takeaway to be delivered by a robot?  https://t.co/4GZxjNwc2K,27.0
28,Sun Apr 01 16:03:03 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🐰 You only need one piece of paper to make this origami Easter bunny! #EasterSunday 

👉 https://t.co/2QvZ01DkVM https://t.co/EQyhG2J8TN",28.0
29,Sun Apr 01 15:00:26 +0000 2018,@BBC,0.5719,0.0,0.734,0.266,What is it like to grow up with HIV? Three teenagers share their stories. https://t.co/DraVkYqRTn,29.0
30,Sun Apr 01 12:14:27 +0000 2018,@BBC,0.0,0.0,1.0,0.0,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ,30.0
31,Sun Apr 01 12:00:24 +0000 2018,@BBC,0.0,0.0,1.0,0.0,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY,31.0
32,Sun Apr 01 11:04:05 +0000 2018,@BBC,0.8083,0.0,0.711,0.289,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99,32.0
33,Sun Apr 01 10:27:03 +0000 2018,@BBC,0.4404,0.0,0.828,0.172,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn,33.0
34,Sun Apr 01 10:03:08 +0000 2018,@BBC,0.6705,0.0,0.776,0.224,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv,34.0
35,Sun Apr 01 09:24:05 +0000 2018,@BBC,0.6705,0.0,0.784,0.216,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI",35.0
36,Sun Apr 01 08:32:07 +0000 2018,@BBC,0.8126,0.0,0.288,0.712,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv,36.0
37,Sat Mar 31 20:42:07 +0000 2018,@BBC,-0.1511,0.117,0.883,0.0,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY",37.0
38,Sat Mar 31 18:02:02 +0000 2018,@BBC,0.5574,0.0,0.765,0.235,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N",38.0
39,Sat Mar 31 17:09:06 +0000 2018,@BBC,-0.2023,0.125,0.739,0.136,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD,39.0
40,Sat Mar 31 16:15:07 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA",40.0
41,Sat Mar 31 13:01:05 +0000 2018,@BBC,0.128,0.152,0.662,0.185,"😂 True or false? 
@NiallOfficial screamed when @JustinBieber followed him on Twitter.  https://t.co/CIcv8AR2sy",41.0
42,Sat Mar 31 12:31:02 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"This is what happens when you get an OWL to deliver the rings at your wedding... 🦉💍🤦
https://t.co/yi1tbmLg99",42.0
43,Sat Mar 31 11:50:05 +0000 2018,@BBC,-0.3404,0.179,0.821,0.0,"✊ Don't like plastic in the supermarkets? 
Why not bin the lot! ♻️🗑https://t.co/gfxquQUoj4",43.0
44,Sat Mar 31 11:28:03 +0000 2018,@BBC,0.1779,0.0,0.638,0.362,It's still growing 😱 https://t.co/T5YocDauYj,44.0
45,Sat Mar 31 10:27:04 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"💻 The world is running out of computer storage. 

🤔 Could DNA be the answer? https://t.co/ww2UziMrWn",45.0
46,Sat Mar 31 09:04:03 +0000 2018,@BBC,0.6369,0.0,0.802,0.198,The greatest wall you've never heard of: these mesmerising mosaics are hidden in Pakistan's Lahore Fort. 😍… https://t.co/1urqLOyZAw,46.0
47,Sat Mar 31 08:04:03 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"Thinking of getting off social media? 

These people did. Here's how they survive (and thrive).  https://t.co/5yB6SW1mTG",47.0
48,Sat Mar 31 07:03:06 +0000 2018,@BBC,0.0,0.0,1.0,0.0,Brown bear cubs living in the forests of Sweden are spending longer with their mothers. 🐻 🌲 https://t.co/WILDpFotl9 https://t.co/RukaU9k8Ja,48.0
49,Fri Mar 30 20:23:06 +0000 2018,@BBC,-0.4767,0.154,0.846,0.0,"Everyone is at rock bottom. And then Matt makes things worse. 🤦

@Matt_LeBlanc, @StephenMangan and Tamsin Greig are… https://t.co/wMqkSpRiUJ",49.0
50,Fri Mar 30 19:00:32 +0000 2018,@BBC,-0.3182,0.277,0.723,0.0,😱👀 When a cheetah interrupts your safari. https://t.co/Zi29GwxYA3,50.0
51,Fri Mar 30 18:01:02 +0000 2018,@BBC,-0.5983,0.196,0.804,0.0,"😂 'JESUS DID NOT HAVE CUSTARD CREAMS!'

Don't let the Lent Police catch you cheating this #EasterWeekend. https://t.co/lLXFoF5fdg",51.0
52,Fri Mar 30 17:29:06 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"An Oscar-winning short film, The Silent Child tells the story of a profoundly deaf child born to hearing parents, w… https://t.co/AD1CGpoZvu",52.0
53,Fri Mar 30 17:06:00 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77",53.0
54,Fri Mar 30 16:26:45 +0000 2018,@BBC,0.5719,0.0,0.734,0.266,❤️ A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv,54.0
55,Fri Mar 30 16:02:04 +0000 2018,@BBC,-0.2144,0.116,0.81,0.073,"The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9",55.0
56,Fri Mar 30 14:54:01 +0000 2018,@BBC,0.2023,0.0,0.927,0.073,We use an estimated 8.5b plastic straws every year in the UK and they're among the top 10 items found in beach clea… https://t.co/K9r6HRVu3V,56.0
57,Fri Mar 30 13:05:00 +0000 2018,@BBC,0.5859,0.0,0.759,0.241,Graphic artist Gabriella Marcella uses a vintage #Risograph printer to produce amazing designs. https://t.co/W9JK5vLbSf,57.0
58,Fri Mar 30 12:04:01 +0000 2018,@BBC,0.4019,0.0,0.876,0.124,"Meena was raised to be a ‘good Indian girl' - to cook, clean and find a husband.

But as an environmental activist… https://t.co/HWMRk97Wdm",58.0
59,Fri Mar 30 10:33:02 +0000 2018,@BBC,0.0,0.0,1.0,0.0,🐘🤷‍♀️ A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v,59.0
60,Fri Mar 30 10:33:02 +0000 2018,@BBC,0.0,0.0,1.0,0.0,🐘🤷‍♀️ A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v,60.0
61,Fri Mar 30 10:03:04 +0000 2018,@BBC,0.25,0.0,0.909,0.091,"Advertisers are the experts at persuading us to eat burgers, crisps and fizzy drinks. But could they convince us to… https://t.co/JpuBKADOMB",61.0
62,Fri Mar 30 09:06:02 +0000 2018,@BBC,0.0,0.0,1.0,0.0,It's been described as a 'game changer' for Multiple Sclerosis patients - scientists say a stem cell transplant can… https://t.co/Ru1R67FHig,62.0
63,Fri Mar 30 08:27:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🍍 A squeeze of pineapple juice works wonders for dough...

🍞 Here are 10 things you knead to know about bread! 

👉… https://t.co/ajVBvN31mi",63.0
64,Fri Mar 30 07:30:02 +0000 2018,@BBC,0.0258,0.123,0.751,0.126,"😢🐘 This poor elephant has his foot caught on a deadly snare. 
Can the team save him before its too late?… https://t.co/7pbk2WA7hW",64.0
65,Thu Mar 29 20:41:00 +0000 2018,@BBC,-0.296,0.099,0.901,0.0,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj",65.0
66,Thu Mar 29 18:05:02 +0000 2018,@BBC,0.4522,0.109,0.697,0.194,"❤️ 'That was it I just totally fell in love with art.'

🎶 How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl",66.0
67,Thu Mar 29 17:04:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🍳 Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
👉… https://t.co/5xxQNyyRMg",67.0
68,Thu Mar 29 16:03:03 +0000 2018,@BBC,-0.3164,0.534,0.466,0.0,✊ Plastic protest! https://t.co/9m59wayYH8,68.0
69,Thu Mar 29 15:04:02 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"😂 So, who's going out tonight? https://t.co/u2L4sEKjE2",69.0
70,Thu Mar 29 14:21:11 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho",70.0
71,Thu Mar 29 12:31:03 +0000 2018,@BBC,0.8268,0.0,0.701,0.299,"Happy birthday to Alfred and Robert! 🎈 🎉 Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v",71.0
72,Thu Mar 29 11:00:21 +0000 2018,@BBC,-0.6249,0.295,0.581,0.124,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW",72.0
73,Thu Mar 29 08:00:12 +0000 2018,@BBC,0.784,0.0,0.655,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,73.0
74,Thu Mar 29 07:27:07 +0000 2018,@BBC,0.0,0.0,1.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,74.0
75,Thu Mar 29 07:00:10 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",75.0
76,Wed Mar 28 18:00:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,76.0
77,Wed Mar 28 17:00:12 +0000 2018,@BBC,0.296,0.0,0.891,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",77.0
78,Wed Mar 28 16:30:00 +0000 2018,@BBC,-0.8225,0.312,0.688,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,78.0
79,Wed Mar 28 16:00:10 +0000 2018,@BBC,0.0,0.0,1.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,79.0
80,Wed Mar 28 13:32:04 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",80.0
81,Wed Mar 28 12:26:01 +0000 2018,@BBC,-0.3182,0.113,0.887,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",81.0
82,Wed Mar 28 11:30:09 +0000 2018,@BBC,0.3182,0.056,0.837,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,82.0
83,Wed Mar 28 11:04:03 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",83.0
84,Wed Mar 28 10:33:03 +0000 2018,@BBC,-0.3612,0.135,0.865,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,84.0
85,Wed Mar 28 09:53:41 +0000 2018,@BBC,0.0,0.0,1.0,0.0,🛁🐤 Are your bathroom toys in-fact DEADLY? 😱 https://t.co/YrtMOzTvrb,85.0
86,Wed Mar 28 08:00:02 +0000 2018,@BBC,-0.7351,0.256,0.744,0.0,"❤️ After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w",86.0
87,Wed Mar 28 07:30:05 +0000 2018,@BBC,-0.25,0.192,0.692,0.115,"😤 Feeling moody? 
Your gut bacteria might be to blame...
👉 https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR",87.0
88,Wed Mar 28 07:00:02 +0000 2018,@BBC,-0.4588,0.176,0.824,0.0,"'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq",88.0
89,Tue Mar 27 18:30:07 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx",89.0
90,Tue Mar 27 18:00:08 +0000 2018,@BBC,0.2942,0.0,0.872,0.128,"🇩🇪😂 Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk",90.0
91,Tue Mar 27 17:00:07 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🍜 We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
👉… https://t.co/JWfrcIhn2X",91.0
92,Tue Mar 27 16:00:15 +0000 2018,@BBC,0.0,0.0,1.0,0.0,😬 What does Facebook know about you? https://t.co/lG4ffeCG09,92.0
93,Tue Mar 27 13:33:01 +0000 2018,@BBC,0.0,0.0,1.0,0.0,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,93.0
94,Tue Mar 27 12:00:08 +0000 2018,@BBC,0.0,0.0,1.0,0.0,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,94.0
95,Tue Mar 27 11:05:06 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",95.0
96,Tue Mar 27 11:00:06 +0000 2018,@BBC,0.25,0.0,0.875,0.125,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",96.0
97,Tue Mar 27 09:52:08 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",97.0
98,Tue Mar 27 08:00:04 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",98.0
99,Tue Mar 27 07:30:04 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",99.0
0,Tue Apr 03 19:39:45 +0000 2018,@CBSTweet,0.8122,0.0,0.67,0.33,"“The Young And The Restless” Celebrates 45th Anniversary
And Posts Largest Audience Since February! Congrats to… https://t.co/MuUcZjsUgG",0.0
1,Tue Apr 03 05:59:03 +0000 2018,@CBSTweet,0.7906,0.0,0.579,0.421,Tonight we #LightItUpBlue for greater understanding and acceptance. #CBS supports #WorldAutismAwarenessDay by light… https://t.co/NPY2rMFSxj,1.0
2,Sat Mar 31 15:35:28 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,".@CBS first Friday night with average of 7.47m viewers, more than doubling closest competitor by +169%.  Network wi… https://t.co/xLrVyzreIF",2.0
3,Fri Mar 30 19:41:26 +0000 2018,@CBSTweet,-0.1531,0.134,0.756,0.109,After Danny learns his brother-in-law Jimmy #KevinDillon has gotten caught up with the mob and stolen his credit ca… https://t.co/jWVuASWU2X,3.0
4,Fri Mar 30 19:38:51 +0000 2018,@CBSTweet,0.6467,0.0,0.831,0.169,#H50 fans this episode is directed by our very own #McG #AlexOLoughlin! We think he did a wonderful job! PLUS HE PL… https://t.co/7bv10lSIOG,4.0
5,Fri Mar 30 19:37:06 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,Start your engines! There is finally a new episode of #MacGyver tonight! 8/7c! https://t.co/0Znp0omRQg,5.0
6,Fri Mar 30 16:03:05 +0000 2018,@CBSTweet,0.5719,0.0,0.829,0.171,".@cbs wins Thursday viewer race by +51%, adults 18-49 by +17% over nearest competition.  @bigbangtheory beats all o… https://t.co/en93jww3kr",6.0
7,Fri Mar 30 15:17:52 +0000 2018,@CBSTweet,0.4574,0.0,0.85,0.15,It's Fri-YAY on #TheTalk with the hilarious @edhelms + @TheNaomiJudd discusses her new book &amp; daughter Ashley Judd!… https://t.co/BZfhkFnbBX,7.0
8,Thu Mar 29 16:07:13 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,.@SURVIVOR yet again the most-watched program on Wednesday and was the night's #1 program for the fifth consecutive… https://t.co/4on0PbaxIw,8.0
9,Thu Mar 29 16:03:37 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,.@kanebrown @kelly_clarkson @OfficialJackson @littlebigtown &amp; @JonPardi added as performers for the 53rd @ACMawards… https://t.co/pD3a5q7com,9.0
10,Wed Mar 28 17:32:53 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,Check out #TheTalk today with Jeff Goldblum dishes on his new movie #IsleofDogs +#trendingtopics: Kelly Ripa &amp; Broo… https://t.co/JLQOe0gs1t,10.0
11,Wed Mar 28 17:32:45 +0000 2018,@CBSTweet,0.6467,0.0,0.799,0.201,"Happy Birthday, @reba! Can't wait to see you host the 53rd @ACMawards LIVE April 15 on #CBS! https://t.co/fVL9Illg8Z",11.0
12,Wed Mar 28 16:07:20 +0000 2018,@CBSTweet,-0.4404,0.153,0.847,0.0,Notorious RBG helped @colbertlateshow pump up lead as most-watched late night show last week. #lssc #notoriousrbg… https://t.co/ue1osWww8F,12.0
13,Tue Mar 27 23:18:23 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,#CBS Renews #SealTeam and #SWAT For 2018-2019 Broadcast Season!  https://t.co/C8mFWuYxC3 https://t.co/ZTTQqKL3KQ,13.0
14,Tue Mar 27 17:45:46 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,Big week for @cbs.  New drama @instinctcbs grows in second week...is #1 scripted series across all networks.… https://t.co/SmupvLdB6K,14.0
15,Tue Mar 27 17:05:41 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,"TODAY on #TheTalk: Actress &amp; activist @YaraShahidi​, @CarnieWilson guest co-hosts+ #trendingtopics: Who bit Beyonce… https://t.co/Xg4SRA62WX",15.0
16,Tue Mar 27 13:32:57 +0000 2018,@CBSTweet,0.4574,0.0,0.813,0.187,"#CBS to present a new @LateLateShow #CarpoolKaraoke Primetime Special 2018, April 23 10-11PM ET/PT!… https://t.co/1q1j0lypzm",16.0
17,Mon Mar 26 22:22:53 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,#Bull meets his match when @danadelany guest stars as a U.S. District Attorney! See what she has to say about her 3… https://t.co/nz6lO87Iz3,17.0
18,Mon Mar 26 16:16:43 +0000 2018,@CBSTweet,0.8221,0.0,0.568,0.432,Congratulations @Lauren_Alaina @MidlandOfficial &amp; @BrettYoungMusic for winning @ACMawards New Artist! 53rd… https://t.co/IB7KMNemkD,18.0
19,Mon Mar 26 16:14:11 +0000 2018,@CBSTweet,0.8442,0.0,0.651,0.349,.@60Minutes helps drive @CBS primetime to wins in viewers and demos.  @INSTINCTCBS is once again #1 entertainment program for night,19.0
20,Sun Mar 25 23:36:53 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/7ve8xye2Ql,20.0
21,Sun Mar 25 22:06:18 +0000 2018,@CBSTweet,-0.4767,0.171,0.829,0.0,A past family grievance is brought to light when Henry’s sister pays a visit on #MadamSecretary tonight https://t.co/KQZlzjlhjV,21.0
22,Sun Mar 25 22:04:46 +0000 2018,@CBSTweet,-0.8807,0.326,0.674,0.0,"Dylan thinks he’s gone back to his normal life but when a murder victim is bizarrely displayed, Lizzie turns to him… https://t.co/axPbXCDeoi",22.0
23,Thu Mar 22 17:11:12 +0000 2018,@CBSTweet,0.4019,0.0,0.87,0.13,"This Just In: #CBS announced season finale dates for its primetime comedies, drama and unscripted series. Find out… https://t.co/iJ8sRM4zFR",23.0
24,Thu Mar 22 16:04:16 +0000 2018,@CBSTweet,0.6908,0.091,0.632,0.277,#Survivor Ghost Island is “boo-tiful.” Most-watched show on Wednesday. Also tops in key demos.  @CBS wins night in… https://t.co/r36nTABMEs,24.0
25,Thu Mar 22 04:53:55 +0000 2018,@CBSTweet,0.0,0.0,1.0,0.0,We got some BIG news during the #BigBangTheory #PaleyFest panel! The season finale WILL be a wedding and Sheldon's… https://t.co/Tjl7nZJpNE,25.0
26,Thu Mar 22 03:25:20 +0000 2018,@CBSTweet,0.7482,0.0,0.672,0.328,#YoungSheldon is at #PaleyFest!!!! RT to show them some love ❤️ https://t.co/855KUwlJxA,26.0
